"Metric","Theoretical","Sample","Absolute_Error","Relative_Error_Pct"
"MTTF",5,5.92044159954171,0.920441599541707,18.4088319908341
"Median",2.07106781186548,2.21168564546349,0.14061783359801,6.78962961967677
"Variance",Inf,181.622186398051,NA,NA
"Std_Dev",Inf,13.4767275849166,NA,NA
"min",0,0.0606760063452005,0.0606760063452005,NA
